             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          17430016  parallel    C18-9   xwei20  R   22:27:15      1 c714
          17430017  parallel    C19-9   xwei20  R   22:27:15      1 c715
          17430018  parallel    C20-9   xwei20  R   22:27:15      1 c716
          17429984  parallel    C09-4   xwei20  R   22:27:30      1 c430
          17429985  parallel    C10-4   xwei20  R   22:27:30      1 c430
          17429986  parallel    C11-4   xwei20  R   22:27:30      1 c430
          17429987  parallel    C12-4   xwei20  R   22:27:30      1 c431
          17429988  parallel    C13-4   xwei20  R   22:27:30      1 c431
          17429989  parallel    C14-4   xwei20  R   22:27:30      1 c431
          17429990  parallel    C15-4   xwei20  R   22:27:30      1 c678
          17429991  parallel    C16-4   xwei20  R   22:27:30      1 c678
          17429992  parallel    C17-4   xwei20  R   22:27:30      1 c678
          17429993  parallel    C18-4   xwei20  R   22:27:30      1 c679
          17429994  parallel    C19-4   xwei20  R   22:27:30      1 c679
          17429995  parallel    C20-4   xwei20  R   22:27:30      1 c679
          17430141  parallel    C09-2   xwei20  R   22:25:12      1 c718
          17430142  parallel    C10-2   xwei20  R   22:25:12      1 c718
          17430143  parallel    C11-2   xwei20  R   22:25:12      1 c719
          17430144  parallel    C12-2   xwei20  R   22:25:12      1 c719
          17430145  parallel    C13-2   xwei20  R   22:25:12      1 c164
          17430146  parallel    C14-2   xwei20  R   22:25:12      1 c164
          17430147  parallel    C15-2   xwei20  R   22:25:12      1 c164
          17430148  parallel    C16-2   xwei20  R   22:25:12      1 c164
          17430149  parallel    C17-2   xwei20  R   22:25:12      1 c164
          17430150  parallel    C18-2   xwei20  R   22:25:12      1 c164
          17430151  parallel    C19-2   xwei20  R   22:25:12      1 c225
          17430152  parallel    C20-2   xwei20  R   22:25:12      1 c225
          17453447  parallel C14DToR6   xwei20  R   15:17:16      1 c468
          17453423  parallel C14DToR5   xwei20  R   15:17:55      1 c468
          17453409  parallel C14DToR4   xwei20  R   15:18:25      1 c468
          17453387  parallel C14DToR3   xwei20  R   15:20:16      1 c435
          17453374  parallel C14DTout   xwei20  R   15:20:57      1 c435
          17453357  parallel   C14oR6   xwei20  R   15:23:16      1 c435
          17453349  parallel   C14oR5   xwei20  R   15:23:58      1 c318
          17453339  parallel   C14oR4   xwei20  R   15:24:58      1 c318
          17453331  parallel   C14oR3   xwei20  R   15:25:29      1 c318
          17453316  parallel   C14out   xwei20  R   15:26:29      1 c323
          17453192  parallel   C14mR5   xwei20  R   15:29:30      1 c323
          17453186  parallel   C14mR6   xwei20  R   15:30:16      1 c323
